" There are a small handful of cheap places to stay in Agumbe,"	
 We all got comfortable in our seats and I remember thinking to myself how dry my eyes were and so thankful I had taken out my contacts.	0
 so I sent the Program Manager a text that I was through and fine.	1
" It is a global research center - facility for 300 ppl,"	1
 Good thing these were cheap shoes I had originally intended on throwing away.	1
" There we had presentations from couple of people and were given a tour of the Testing facility - pretty sweet to see all the latest and greatest tablets,"	1
Intelâ€™s mission is to create computing technology to make life easier for everyone on the globe.	1
 thus copying the McDonaldâ€™s model of fast and cheap service.	1
" Some other things they showed me were where the gardens used to be and some of the good places to shop â€“ not that I would get there,"	1
 We left for the training facility and it was part of a sprawling over 100 acre property where the corporate office used to be.	1
 I was sharing my room with another manager and she arrived in the middle of the night and scared me out of my wits.	1
 Needless to say everyone on board was scared but the second time round we managed to land.	0
 We were staying at the Orange County and had a lovely villa all to ourselves with a pool at the back.	1
 We had a tough time organising the event at Garuda Mall and altercations with the management occurred before we could proceed again.	1
 I shopped a bit at the Home Stop and at Garuda Mall and we stayed over at my colleague's place at Richmond Road.	0
 The food of Chokhi Dhani which we always use to talk about which is very famous in Jaipur maintained the same standard and taste in Bangalore also.	1
Now you must be thinking that how costly could this Chokhi Dhani could be?	1
" Not at all costly guys,"	1
 they have very nominal charges in which you get not only food but get to see really nice dances and activities.	1
I arrived mid afternoon and got into a taxi and headed out to my guesthouse.	1
 Obviously being the way here the taxi driver took me saying he knew where it was when he didnâ€™t.	1
 After a phone call to the guesthouse I waited for a couple of minutes with the taxi driver and a bloke on a motorbike turned up to take me to the right place.	0
 Flocks of taxi and auto-rickshaw drivers asking me where I wanted to go etc.	0
 I always manage to pick absolute planks to drive me about.	0
 It was about 36 degrees and very humid but I managed a good 3 hours walking around town before I felt knackered.	1
 It seems a lot easier place to be when you have company.	0
 where we were stuck on the tarmack for three hours because of technical difficulties with the plane.	1
 She arranged for her friend George who was a friend of a friend who knew somebody who had a membership at the catholic club which was basically like a YMCA with a pool and cheap food.	0
"The next day we hired a taxi driver to take us to Mysore,"	1
" Cheap as chips,"	1
" balancing headphone parties and fire dancing/poy on the beach with trying to find internet occasionally to let people know we were alive or finish final papers and assignments,"	1
 I will work with HIV positive patients and health workers to investigate issues associated with the side effects of taking anti-retroviral drugs.	0
" In my haste I managed to fall over the doorway and slice my toe at which point the very lovely security man leapt at the opportunity to christen his first aid kit and doused my wound with not one,"	0
 There was a queue (which actually seemed to function as a queue) looping round the entire building.	1
 After a fun half hour of shoving in the refund â€˜queueâ€™ we found out there is another bus at 11.	0
" We were rewarded by a rooftop pool; lady kit containing essentials such as toothpaste,"	1
 I somehow managed to zonk out whilst riding in a Cambodian tuk-tuk for goodness' sake!	1
My first observation of Indian roads was that drivers use their horns more than any other function on their cars/autos/mopeds.	1
 The aim was to pick up an SD card reader for my iPad from the Apple shop on MG (Mahatma Ghandi) Road since the non-Apple one I bought in Singapore only served to slow down the device's performance.	0
 you have go on the old airport road for about 4kms till you find a shopping complex called â€œTotal Mallâ€ (earlier called Kids Kemp).	1
 Free entry may have a long queue (as below) and may take about an hour depending on the crowd.	1
While standing on a long queue you will come across about hundred shops on both of your side.	0
 Shops selling idols of God and other pooja/ religious items.	1
After the queue you will find the ticket counter.	1
 You will find a lot of shops on the exit route too.	1
 Once in Shivaratri (2006) I stood on the queue in the evening and had darshan of the lord at 2 Oâ€™clock after standing for about 8 hours.	1
 Thankfully there is a Jet counter at the entrance to the airport & we get a copy free (as she is sooooo nice) - they decide not to charge her the Rs 100 usual fee for dorks who forget such things.	0
35pm) early which is great and then luckily we bump into a Czech guy (Michael from Prague) whoâ€™s also looking to take a pre-paid cab to Mamallapuram.	1
 So we share the cost (Rs 1280) and the cab gets us there in an hour and a half.	1
We find a really small book shop and discover that they are selling the new LP India Guide â€“ second hand for Rs 500 â€“ bargain and we are back in business.	1
 We only went there really for the â€œcheapâ€ beer (at Rs 180 it isnâ€™t cheap at all but thereâ€™s no bottle shop nearby so needs must!	1
Internet here is great value at Rs 30 per hour and really fast so we catch up with family & friends and spend a happy two hours uploading our last three blogs.	1
 We do most of the sites early in the morning and late afternoon when itâ€™s more comfortable as itâ€™s incredibly hot and humid here; we think only Palenque in Mexico was more sweat inducing.	1
" Aditya has managed to get us 1st class tickets,"	0
We dine at Kebab Corner after a few cheap beers at a local bar.	1
 dates etc â€“ and sold in just about all general shops along the streets.	0
